name_latin,Brandwidth Internet Speed
Adygea,51.59
Altai Krai,69
Altai Republic,47.84
Amur Oblast,52.42
Arkhangelsk Oblast,58.56
Astrakhan Oblast,60.47
Belgorod Oblast,46.09
Bryansk Oblast,68.23
Buryatia,70.41
Chechnya,29.4
Chelyabinsk Oblast,72.63
Chuvashia Republic,72.4
Dagestan Republic,52.72
Ingushetia,55.89
Irkutsk Oblast,62.51
Ivanovo Oblast,59.55
Jewish Autonomous Oblast,50.16
Kabardino-Balkaria,46.95
Kaliningrad Oblast,57.73
Kalmykia,57.94
Kaluga Oblast,55.92
Kamchatka Krai,63.25
Karachay-Cherkessia,46.55
Kemerovo Oblast,73.91
Khabarovsk Krai,53.44
Khanty-Mansi Autonomous Okrug,92.74
Kirov Oblast,64.88
Komi Republic,58.28
Kostroma Oblast,49.14
Krasnodar Krai,55.11
Krasnoyarsk Krai,73.5
Kurgan Oblast,69.32
Kursk Oblast,56.45
Leningrad Oblast,56.56
Lipetsk Oblast,67.48
Magadan Oblast,38.98
Mari El Republic,80.26
Mordovia,57.73
Moscow,89.8
Moscow Oblast,61.85
Murmansk Oblast,82.61
Nenets Autonomous Okrug,29.96
Nizhny Novgorod Oblast,68.96
North Ossetia–Alania,58.91
Novgorod Oblast,51.27
Novosibirsk Oblast,75.68
Omsk Oblast,70.63
Orenburg Oblast,66.61
Oryol Oblast,55.06
Penza Oblast,69.28
Perm Krai,74.92
Primorsky Krai,61.65
Pskov Oblast,46.26
Republic of Bashkortostan,68.87
Republic of Karelia,67.06
Republic of Khakassia,71.44
Rostov Oblast,67.53
Ryazan Oblast,68.48
Saint Petersburg,79
Sakha Republic,45.18
Sakhalin Oblast,47.62
Samara Oblast,66.49
Saratov Oblast,73.62
Smolensk Oblast,59.3
Stavropol Krai,56.08
Sverdlovsk Oblast,74.53
Tambov Oblast,68.1
Tatarstan,63.26
Tomsk Oblast,85.11
Tula Oblast,61.52
Tuva,28.18
Tver Oblast,53.81
Tyumen Oblast,73.56
Udmurt Republic,70.05
Ulyanovsk Oblast,68.16
Vladimir Oblast,51.85
Volgograd Oblast,67.66
Vologda Oblast,64.16
Voronezh Oblast,60.52
Yamalo-Nenets Autonomous Okrug,87.12
Yaroslavl Oblast,60.18
Zabaykalsky Krai,48.63
